Date,BCOMTR Index,LF98TRUU Index,LUACTRUU Index,LUATTRUU Index,SPXT Index
6/16/1995,117.076,,765.32,744.9,685.26
6/19/1995,117.222,,769.36,748.09,692.14
6/20/1995,117.305,,768.14,747.2,691.85
6/21/1995,116.809,,769.36,748.16,690.59
6/22/1995,117.059,,773.92,751.79,699.63
6/23/1995,116.936,,772.4,750.53,697.92
6/26/1995,116.048,,770.72,749.13,690.84
6/27/1995,115.882,,769.36,748.09,688.68
6/28/1995,116.408,,771.71,749.94,691.89
6/29/1995,115.91,,764.56,744.02,690.8
6/30/1995,115.079,395.62,767.3,746.39,692.07
7/3/1995,115.143,,767.92,746.6,695.08
7/5/1995,114.668,,769.22,747.72,695.41
7/6/1995,115.259,,776.28,753.54,704.14
7/7/1995,114.9,,776.13,753.69,707.28
7/10/1995,115.696,,776.9,754.21,708.33
7/11/1995,115.878,,773.83,751.82,705.28
7/12/1995,116.628,,774.82,752.64,713.1
7/13/1995,115.839,,774.9,752.57,713.26
7/14/1995,116.662,,773.21,750.55,711.85
7/17/1995,117.437,,769.99,748.09,715.45
7/18/1995,117.507,,767.69,746.45,710.1
7/19/1995,116.179,,760.86,741.45,700.66
7/20/1995,115.687,,761.39,741.75,703.93
7/21/1995,116.378,,757.48,738.69,704.04
7/24/1995,116.374,,760.55,741.08,707.87
7/25/1995,116.538,,762.39,742.49,713.56
7/26/1995,117.779,,760.24,740.93,714.25
7/27/1995,117.408,,762.93,743.09,718.95
7/28/1995,117.35,,760.55,741.3,716.07
7/31/1995,117.314,400.62,763.91,743.62,715.02
8/1/1995,116.841,,761.39,741.45,711.95
8/2/1995,116.921,,764.37,743.76,711.03
8/3/1995,117.052,,761.16,741.3,711.16
8/4/1995,116.784,,762.77,742.57,711.45
8/7/1995,116.609,,763.99,743.61,712.91
8/8/1995,116.866,,764.45,743.9,713.44
8/9/1995,117.016,,762.92,742.86,712.68
8/10/1995,117.037,,761.01,741.45,709.99
8/11/1995,117.031,,756.5,738.25,707.14
8/14/1995,117.092,,757.57,739.15,713.1
8/15/1995,117.151,,760.7,739.82,711.71
8/16/1995,117.171,,762.38,741.15,713.67
8/17/1995,117.863,,761.47,740.34,712.52
8/18/1995,118.432,,761.7,740.63,712.82
8/21/1995,119.659,,764.14,742.57,711.44
8/22/1995,119.464,,762.84,741.53,713.27
8/23/1995,119.628,,761.93,740.86,710.34
8/24/1995,119.406,,766.28,744.35,710.77
8/25/1995,119.265,,772.32,748.96,714.15
8/28/1995,119.314,,773.69,750.07,712.82
8/29/1995,118.914,,772.55,749.11,714.13
8/30/1995,118.217,,774,750.37,715.54
8/31/1995,119.317,401.87,776.22,752.24,716.82
9/1/1995,119.765,,778.79,753.96,719.34
9/5/1995,120.152,,781.66,756.22,726.26
9/6/1995,119.755,,781.51,756.14,727.68
9/7/1995,119.849,,780.03,754.86,727.88
9/8/1995,119.96,,779.33,754.26,730.94
9/11/1995,120.11,,779.95,754.79,732.54
9/12/1995,120.593,,783.52,757.49,735.87
9/13/1995,120.1,,782.2,756.52,739.11
9/14/1995,120.552,,786.55,760.05,745.31
9/15/1995,121.019,,784.69,759.22,744.98
9/18/1995,122.104,,782.2,757.27,744.5
9/19/1995,121.718,,783.99,758.77,746.34
9/20/1995,120.987,,785.85,760.2,749.66
9/21/1995,121.364,,780.96,756.29,744.88
9/22/1995,120.077,,779.88,755.54,743.26
9/25/1995,120.054,,780.26,755.69,743.36
9/26/1995,120.08,,779.56,755.01,742.85
9/27/1995,119.959,,779.56,754.94,742.74
9/28/1995,120.582,,779.88,755.09,748.93
9/29/1995,120.453,406.81,785.42,759.45,747.07
10/2/1995,120.485,,786.05,759.67,743.65
10/3/1995,119.918,,787.86,761.11,744.47
10/4/1995,119.836,,789.82,762.78,743.48
10/5/1995,118.703,,790.61,763.46,745.22
10/6/1995,118.825,,791.08,763.77,745.11
10/9/1995,,,,,739.84
10/10/1995,119.547,,791.39,764.22,738.75
10/11/1995,119.756,,791.31,764.15,741.34
10/12/1995,119.349,,792.89,765.44,746.02
10/13/1995,119.966,,797.05,769.39,747.81
10/16/1995,120.207,,796.58,769.08,745.93
10/17/1995,119.565,,797.44,769.84,750.73
10/18/1995,119.494,,796.26,768.93,751.71
10/19/1995,119.833,,797.13,769.69,755.83
10/20/1995,120.078,,794.46,767.72,751.76
10/23/1995,120.209,,793.75,767.18,748.7
10/24/1995,120.198,,796.73,769.69,750.59
10/25/1995,120.421,,797.36,770.3,745.43
10/26/1995,121.041,,795.09,768.63,738.11
10/27/1995,120.749,,796.34,769.61,742
10/30/1995,121.078,,797.05,770.15,746.63
10/31/1995,121.481,409.32,795.64,771.19,744.4
11/1/1995,122.063,,798.27,773.11,748.01
11/2/1995,122.813,,800.82,775.11,755.24
11/3/1995,122.353,,800.18,774.65,756.37
11/6/1995,122.264,,799.63,774.26,753.74
11/7/1995,122.352,,798.35,773.11,751.03
